station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,date,musim
Aotizhongxin,7.125,10.75,11.708333333333334,22.583333333333332,429.1666666666667,63.875,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,2013-03-01,dingin
Changping,5.083333333333333,18.958333333333332,16.041666666666668,15.333333333333334,387.5,77.79166666666667,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,2013-03-01,dingin
Dingling,6.375,12.853310276679842,3.0,19.26531116957336,204.16666666666666,81.95833333333333,0.8125,1023.8583333333332,-19.583333333333332,0.0,2.1333333333333333,2013-03-01,dingin
Dongsi,6.416666666666667,9.875,8.897129441973586,29.57081011677076,434.58621379483475,72.13377653754846,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,2013-03-01,dingin
Guanyuan,7.541666666666667,11.666666666666666,8.5,28.5,400.0,63.166666666666664,1.3916666666666666,1026.875,-18.745833333333334,0.0,3.2541666666666664,2013-03-01,dingin
Gucheng,8.625,16.875,7.723590067617753,48.93422912790246,888.4989342898731,76.32061995145867,1.6916666666666667,1024.8166666666666,-19.691666666666666,0.0,2.35,2013-03-01,dingin
Huairou,7.541666666666667,12.375,15.796731375425418,15.707875035651957,367.60643937142066,77.4510297064056,0.016666666666666625,1023.7833333333333,-21.941666666666666,0.0,2.9333333333333336,2013-03-01,dingin
Nongzhanguan,6.458333333333333,10.833333333333334,9.25,27.708333333333332,341.6666666666667,72.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,2013-03-01,dingin
Shunyi,8.083333333333334,9.333333333333334,3.4405016119797835,14.287869364076085,386.96099910802974,62.175055031769666,0.5416666666666666,1029.6416666666667,-20.6375,0.0,3.1666666666666665,2013-03-01,dingin
Tiantan,8.625,14.458333333333334,8.875,21.583333333333332,450.0,68.08333333333333,1.325,1028.7833333333333,-21.46666666666667,0.0,3.3083333333333336,2013-03-01,dingin
